Modelo,MAE_Train,RMSE_Train,R2_Train,MAE_Val,RMSE_Val,R2_Val,MAE_Test,RMSE_Test,R2_Test,Tiempo_entrenamiento
LinearRegression,4491.596484836402,7159.022147810437,0.9005614665235125,4489.766749929194,7237.902702544144,0.8990812647381918,4433.87703481538,7053.10633113506,0.902498877507185,0.32910776138305664
KNeighborsRegressor,299.0851832023414,1353.057244505799,0.9964479453373539,2711.8051643738277,5010.213896871787,0.9516430554198475,2708.4062770507526,4923.691620928025,0.9524850318837257,0.2902250289916992
DecisionTreeRegressor,2553.3082967818536,4488.856696073211,0.9609052193477856,2675.1767517559733,4795.4499203547775,0.9556998662229096,2666.1267723513915,4704.450991781684,0.9566222870531097,0.33679866790771484
RandomForestRegressor,1921.6651905549545,3409.0239765052743,0.9774520319801862,2125.2990728267278,3869.622645447258,0.9711541361290509,2121.7124344178733,3757.757183438673,0.9723238178327236,3.3875362873077393
GradientBoostingRegressor,2536.4801249434545,4310.918337501976,0.9639432240956936,2575.0411484371884,4472.618670768769,0.9614636957064723,2564.8468677740016,4375.751050719675,0.9624721257550943,61.93858289718628
